task_clock,context_switches,cpu_migrations,page_faults,time_elapsed,iteration,threads
611.96,0.0,0.0,29682,0.68072,1,1
629.29,0.0,0.0,29682,0.70393,1,2
649.03,0.0,0.0,29682,0.71256,1,4
644.95,0.0,0.0,29680,0.7219,1,8
663.24,0.0,0.0,29682,0.72992,1,16
651.14,0.0,0.0,29680,0.71404,1,32
647.99,0.0,0.0,29682,0.7115,2,1
660.88,0.0,0.0,29682,0.7230,2,2
641.24,0.0,0.0,29682,0.7034,2,4
651.49,0.0,0.0,29682,0.71333,2,8
638.33,0.0,0.0,29682,0.70702,2,16
638.51,0.0,0.0,29683,0.70692,2,32
640.06,0.0,0.0,29682,0.70491,3,1
635.76,0.0,0.0,29682,0.70533,3,2
659.63,0.0,0.0,29682,0.72556,3,4
659.03,0.0,0.0,29683,0.72485,3,8
659.53,0.0,0.0,29682,0.72637,3,16
661.64,0.0,0.0,29683,0.73287,3,32
646.74,0.0,0.0,29683,0.71324,4,1
654.64,0.0,0.0,29682,0.7263,4,2
630.66,0.0,0.0,29683,0.69093,4,4
639.7,0.0,0.0,29683,0.70341,4,8
655.64,0.0,0.0,29682,0.7238,4,16
649.84,0.0,0.0,29682,0.71768,4,32
626.54,0.0,0.0,29682,0.68907,5,1
630.66,0.0,0.0,29681,0.6972,5,2
662.91,0.0,0.0,29683,0.72546,5,4
653.99,0.0,0.0,29682,0.71848,5,8
647.32,0.0,0.0,29683,0.70963,5,16
652.7,0.0,0.0,29681,0.71854,5,32
646.43,0.0,0.0,29683,0.71054,6,1
645.62,0.0,0.0,29682,0.72114,6,2
661.9,0.0,0.0,29683,0.7310,6,4
650.85,0.0,0.0,29681,0.7141,6,8
651.35,0.0,0.0,29681,0.71492,6,16
662.55,0.0,0.0,29681,0.73351,6,32
653.36,0.0,0.0,29681,0.71754,7,1
658.54,0.0,0.0,29682,0.73358,7,2
678.97,0.0,0.0,29681,0.7451,7,4
667.91,0.0,0.0,29681,0.72739,7,8
659.87,0.0,0.0,29682,0.72375,7,16
656.46,0.0,0.0,29681,0.72334,7,32
668.74,0.0,0.0,29683,0.73485,8,1
668.05,0.0,0.0,29682,0.73369,8,2
653.1,0.0,0.0,29682,0.71133,8,4
672.23,0.0,0.0,29682,0.7354,8,8
652.13,0.0,0.0,29683,0.7141,8,16
666.04,0.0,0.0,29681,0.73448,8,32
