size,f,threads,estimate,duration
200000000,0,1,3.141584239034608,8.350015
200000000,0,1,3.1411109362254734,8.064202
200000000,0,1,3.141331394399335,8.136083
200000000,0,1,3.1409850998919167,9.081017
200000000,0,1,3.1415735180802,8.008256
200000000,0,2,3.141142138008907,6.903283
200000000,0,2,3.141146287717833,7.417251
200000000,0,2,3.1416387688126357,8.616954
200000000,0,2,3.1420144326085575,7.820923
200000000,0,2,3.141469145826637,7.910986
200000000,0,4,3.141145375547983,7.271816
200000000,0,4,Inf,7.365438
200000000,0,4,3.1409810652478165,7.061212
200000000,0,4,Inf,7.025717
200000000,0,4,3.1411129884728513,7.123913
200000000,0,8,3.140934869241211,7.171503
200000000,0,8,3.141591055657878,7.409356
200000000,0,8,3.1415608962538144,7.120675
200000000,0,8,3.1416983816324064,7.074298
200000000,0,8,Inf,7.209353
200000000,0,16,3.1411077830331853,7.021282
200000000,0,16,3.1416170301206754,7.076435
200000000,0,16,3.141680998661115,7.334642
200000000,0,16,3.1412681969535763,7.135602
200000000,0,16,3.142324070268224,7.128851
200000000,0,32,3.1420622166299257,7.174308
200000000,0,32,3.1415777187726652,7.06675
200000000,0,32,3.1408385218751187,7.052433
200000000,0,32,3.141472501628646,7.101136
200000000,0,32,3.1412142973001327,7.197064
200000000,0,64,3.141661481806246,7.153897
200000000,0,64,3.1412451173235234,7.05116
200000000,0,64,Inf,6.958956
200000000,0,64,3.141699204027219,7.132069
200000000,0,64,3.141187729306596,7.195999
200000000,0,128,3.141330630988027,7.040889
200000000,0,128,3.1421926303759644,6.979844
200000000,0,128,3.141710072183986,7.099059
200000000,0,128,Inf,9.71948
200000000,0,128,3.1420147236019393,8.423854
200000000,0,256,3.1418044563541137,8.768148
200000000,0,256,Inf,7.625432
200000000,0,256,3.1411523258148657,6.990232
200000000,0,256,3.141681213153236,6.916597
200000000,0,256,3.141455957867868,7.019767
200000000,0,512,3.1414493999092263,6.962618
200000000,0,512,3.1419782825363205,7.053152
200000000,0,512,3.140825635571175,7.15894
200000000,0,512,3.1415226610657436,6.962982
200000000,0,512,3.1417987881184515,7.033471
200000000,0,1024,3.141467337599565,7.120506
200000000,0,1024,3.141797692164329,7.239788
200000000,0,1024,Inf,7.093803
200000000,0,1024,3.1423685994597785,6.936725
200000000,0,1024,3.140410314983265,8.390945
200000000,0,2048,3.1415161119569697,7.418767
200000000,0,2048,3.141349086006758,7.58777
200000000,0,2048,3.141586692320591,7.077524
200000000,0,2048,Inf,7.041197
200000000,0,2048,Inf,6.963995
